"Name","f_measure","macro_f1","macro_recall","macro_precision","precision","recall","error_rate","classification_report.accuracy"
"tcn_ptbxl_20260625_233656-fold_10","","0.7763183456863794","0.7319293006872644","0.8399369978980126","","","0.1448484848484849","0.8551515151515151"
"tcn_ptbxl_20260625_233656-fold_9","","0.7824536539061804","0.7379020888783105","0.8570833760643118","","","0.1453879047037263","0.8546120952962737"
"tcn_ptbxl_20260625_233656-fold_8","","0.7812358112368072","0.7586489901199217","0.8253306845600207","","","0.13683567501527183","0.8631643249847282"
"tcn_ptbxl_20260625_233656-fold_7","","0.8048088639142689","0.7828142212965823","0.8355754761676021","","","0.13485221674876846","0.8651477832512315"
"tcn_ptbxl_20260625_233656-fold_6","","0.7757479603216317","0.7515317810427244","0.8106631560259838","","","0.15552779512804493","0.8444722048719551"
"tcn_ptbxl_20260625_233656-fold_5","","0.7260384392866168","0.7040779195051405","0.7665000249226767","","","0.17174859987554447","0.8282514001244555"
"tcn_ptbxl_20260625_233656-fold_4","","0.6987539868065127","0.667593247884841","0.7477179097920017","","","0.17983820784069693","0.8201617921593031"
"tcn_ptbxl_20260625_233656-fold_3","","0.698951146907927","0.683426977607869","0.729932580955695","","","0.187037037037037","0.812962962962963"
"tcn_ptbxl_20260625_233656-fold_2","","0.7311729137839371","0.7038319213381325","0.7705679832964236","","","0.17171093267449045","0.8282890673255096"
"tcn_ptbxl_20260625_233656-fold_1","","0.6760527593393676","0.6604302623080318","0.7094643761776804","","","0.20341047503045065","0.7965895249695494"
