"Name","f_measure","macro_f1","macro_recall","macro_precision","precision","recall","error_rate","classification_report.accuracy"
"tcn_cross_ptbxl_20260626_030459-fold_10","","0.8358017763305485","0.7883230733926985","0.9251269885963768","","","0.0884848484848485","0.9115151515151516"
"tcn_cross_ptbxl_20260626_030459-fold_9","","0.8409212214430195","0.8724347838887146","0.831066893057443","","","0.10690287110568109","0.8930971288943189"
"tcn_cross_ptbxl_20260626_030459-fold_8","","0.8148139410048542","0.7837882435814667","0.924682808772473","","","0.08979841172877212","0.910201588271228"
"tcn_cross_ptbxl_20260626_030459-fold_7","","0.8525565365709824","0.8186909792863307","0.9007637628759454","","","0.09544334975369462","0.9045566502463054"
"tcn_cross_ptbxl_20260626_030459-fold_6","","0.734647371669527","0.7132946470177516","0.8797991757755463","","","0.13803872579637722","0.8619612742036228"
"tcn_cross_ptbxl_20260626_030459-fold_5","","0.7178916487644702","0.7003874090774352","0.8376753199176061","","","0.14561294337274422","0.8543870566272558"
"tcn_cross_ptbxl_20260626_030459-fold_4","","0.6680950678706219","0.6622033393980936","0.8504473812975475","","","0.15743621655258244","0.8425637834474176"
"tcn_cross_ptbxl_20260626_030459-fold_3","","0.6503410476369145","0.6326282581105918","0.6880361424995675","","","0.20493827160493827","0.7950617283950617"
"tcn_cross_ptbxl_20260626_030459-fold_2","","0.6504865330389766","0.6058524225201244","0.7536576670728656","","","0.21556516368128475","0.7844348363187152"
"tcn_cross_ptbxl_20260626_030459-fold_1","","0.6349710118318256","0.599874766516022","0.6874945363883811","","","0.23386114494518884","0.7661388550548112"
