"Name","f_measure","macro_f1","macro_recall","macro_precision","precision","recall","error_rate","classification_report.accuracy"
"tcn_ptbxl_20260625_210038-fold_10","0.8283687943262411","","","","0.8690476190476191","0.7913279132791328","0.1466666666666666",""
"tcn_ptbxl_20260625_210038-fold_9","0.815033161385409","","","","0.8722397476340694","0.7648686030428768","0.1533292608430055",""
"tcn_ptbxl_20260625_210038-fold_8","0.8541810642709053","","","","0.8841201716738197","0.8262032085561497","0.12889431887599268",""
"tcn_ptbxl_20260625_210038-fold_7","0.8511861969805895","","","","0.8592162554426706","0.8433048433048433","0.12746305418719217",""
"tcn_ptbxl_20260625_210038-fold_6","0.8250186150409531","","","","0.8765822784810127","0.7791842475386779","0.14678326046221113",""
"tcn_ptbxl_20260625_210038-fold_5","0.8507670850767085","","","","0.8472222222222222","0.8543417366946778","0.13316739265712507",""
"tcn_ptbxl_20260625_210038-fold_4","0.8288808664259928","","","","0.8657616892911011","0.7950138504155124","0.1474797759800871",""
"tcn_ptbxl_20260625_210038-fold_3","0.8366890380313199","","","","0.8474320241691843","0.8262150220913107","0.1351851851851852",""
"tcn_ptbxl_20260625_210038-fold_2","0.8453159041394336","","","","0.8521229868228404","0.8386167146974063","0.13156269302038293",""
"tcn_ptbxl_20260625_210038-fold_1","0.8239292997960571","","","","0.8335625859697386","0.8145161290322581","0.15773447015834352",""
