"Name","f_measure","macro_f1","macro_recall","macro_precision","precision","recall","error_rate","classification_report.accuracy"
"tcn_cross_ptbxl_20260626_003622-fold_10","0.8305785123966942","","","","0.8445378151260504","0.8170731707317073","0.14909090909090905",""
"tcn_cross_ptbxl_20260626_003622-fold_9","0.8022840827980015","","","","0.8289085545722714","0.7773167358229599","0.16921197312156389",""
"tcn_cross_ptbxl_20260626_003622-fold_8","0.8239895697522817","","","","0.8040712468193384","0.8449197860962567","0.1649358582773366",""
"tcn_cross_ptbxl_20260626_003622-fold_7","0.8211440984793628","","","","0.8350515463917526","0.8076923076923077","0.15209359605911332",""
"tcn_cross_ptbxl_20260626_003622-fold_6","0.8072562358276644","","","","0.8725490196078431","0.7510548523206751","0.15927545284197375",""
"tcn_cross_ptbxl_20260626_003622-fold_5","0.8204758471521268","","","","0.8454680534918276","0.7969187675070029","0.15494710640945863",""
"tcn_cross_ptbxl_20260626_003622-fold_4","0.811046511627907","","","","0.8532110091743119","0.7728531855955678","0.16179215930304913",""
"tcn_cross_ptbxl_20260626_003622-fold_3","0.7863866763215062","","","","0.7735042735042735","0.7997054491899853","0.1820987654320988",""
"tcn_cross_ptbxl_20260626_003622-fold_2","0.7880642693190513","","","","0.8401305057096248","0.7420749279538905","0.17109326744904263",""
"tcn_cross_ptbxl_20260626_003622-fold_1","0.7611275964391692","","","","0.8493377483443708","0.6895161290322581","0.1961023142509135",""
